"Pre-2023 literature","Post-2023 literature","Qwen3 — overall","Qwen3 — novice","Qwen3 — intermediate","Qwen3 — expert","Gemma — overall","Gemma — novice","Gemma — intermediate","Gemma — expert"
87.3758881560189,117.641549671125,30.2318301787177,21.5789400579316,31.8164580406181,61.1368317836953,29.6749063766014,21.2377922794166,30.7579490562454,48.787594798917
84.5924242698339,115.323764043368,30.9405929225691,21.8133661794081,33.9634070133914,61.8687499353663,28.3854556686977,21.633481081397,31.7172286782117,48.6024064181452
89.3374864156124,114.348531367121,30.7491467022537,21.9731655998597,32.9795161074781,65.0725047696967,29.2719183885278,21.4943061387726,29.4937918240495,48.6917624894792
88.075252885028,114.851337258239,31.899960115031,22.9659617779668,31.5359444530253,62.6413776821256,30.5422355894265,21.043721463232,30.723057746364,46.2573410507599
89.3761571117277,115.78047464132,30.6300588640986,22.1699961889083,30.0448808138762,58.1324961364154,30.0639097547065,21.2118394125168,29.8829327213777,48.3666236805528
89.9051998393157,116.759810993369,31.8064229202153,21.4750612080207,30.1639179914428,57.3073079642126,28.3039315500878,21.1254703132887,29.3803560824864,47.0843348026268
85.9556154280379,112.043366207235,31.0671850818289,21.1144638626865,30.6218819801717,63.0582871766391,28.6769520975443,20.1373193251792,30.8316202112318,44.668451884905
88.8040436990879,113.436335760831,32.577414527069,21.6890662205226,31.5260445875168,59.951211627264,28.5055195949032,21.1513199114848,29.2321935280813,44.4792965207822
85.7349223940992,114.285189929329,32.5940783869392,21.0560308847365,29.1318285558526,60.1161430349307,29.5765670017561,20.7653245427303,30.2915778807296,41.7077825300801
86.0392159158286,114.286753634767,31.7626474709855,20.9514062978909,31.617214652986,61.7636712742977,29.5819542268942,20.9755011175382,30.1509702919303,48.1652946818998
89.1609391604386,113.094675522325,30.1897829721758,22.4595131975114,30.6506622586608,64.5298106409608,28.5650669133875,20.6787283763747,30.9335900865612,45.8711048280562
86.9138317956684,113.12218327072,32.7125614735782,20.9319187729927,31.1036944817399,63.3297794149936,28.8824279195028,21.197029903743,30.9235216784023,48.8340679801196
88.5689596461775,114.362765510248,32.8544021086434,21.1395106775608,34.0550986097407,61.4703713729796,27.8846918033431,19.9362970336096,29.0585862554846,47.8966047847882
88.8316053386784,114.772974952884,31.7737638937181,19.5111221404417,32.7075239771604,63.7616463460804,28.8196266924459,20.5433418482824,28.4711196579903,44.2629307745129
88.864568684287,110.59196507509,31.770682279964,22.8760334493863,30.2654452266896,58.0384117622212,28.7841610864759,22.2906674023394,31.2091324103666,44.8866054597576
85.1682976242395,115.039872027674,30.6526778925521,22.007906421715,34.1081869356324,61.2975972384916,29.4886342218241,21.0554847900274,29.6182443858631,46.4610670841005
87.4930442640995,115.049497836287,31.7826424858572,21.9382142015319,30.5486855521033,62.7981038119403,29.9125886240443,21.3203645686826,31.6283847735136,50.9911045105147
89.4496357208598,113.091828190391,32.8483336475026,21.4422540365985,28.8987380264901,64.3411975360198,29.5213993258332,20.66238602832,30.9539189778493,49.9587122621216
84.9116526693354,112.899521784589,33.7446500069291,20.5892831667448,31.255681234857,62.0677466011538,29.6537102371243,19.9190019898647,29.8885999960776,49.2917470290922
90.5282363409849,112.0415243709,31.9096589042649,21.3360123433196,29.7763522621643,61.7076223730298,29.5036706581673,19.8933714511776,27.0667391290222,48.1880143991733
